Function,Package,Static,Example,Original Package,Observation,FuncType /Member/Static,Implemented In:,
QueryColumnList,Query,FALSE,,Query,,Member,,
QueryConvertForGrid,Query,FALSE,,Query,,Member,,
QueryCurrentRow,Query,FALSE,,Query,,Member,,
QueryDeleteColumn,Query,FALSE,,Query,,Member,,
QueryDeleteRow,Query,FALSE,,Query,,Member,,
QueryEach,Query,FALSE,,Query,,Member,,
QueryEvery,Query,FALSE,,Query,,Member,,
QueryFilter,Query,FALSE,,Query,,Member,,
QueryGetCell,Query,FALSE,,Query,,Member,,
QueryGetRow,Query,FALSE,,Query,,Member,,
QueryMap,Query,FALSE,,Query,,Member,,
QueryNew,Query,FALSE,,Query,,Member,,
QueryRecordCount,Query,FALSE,,Query,,Member,,
QueryReduce,Query,FALSE,,Query,,Member,,
